,species,lat,long
1322,"Phlebotomus simici Nitzulescu, 1931",37.1914,26.8272
1324,"Phlebotomus similis Perfil'ev, 1963",37.1914,26.8272
1325,"Phlebotomus neglectus Tonnoir, 1921",37.1888,26.8236
1326,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1888,26.8236
1327,"Phlebotomus neglectus Tonnoir, 1921",37.1684,26.8308
1328,"Phlebotomus neglectus Tonnoir, 1921",37.1908,26.8146
1329,"Phlebotomus simici Nitzulescu, 1931",37.1908,26.8146
1331,"Phlebotomus neglectus Tonnoir, 1921",36.6069,27.1307
1332,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6069,27.1307
1334,"Phlebotomus simici Nitzulescu, 1931",36.6069,27.1307
1335,"Phlebotomus neglectus Tonnoir, 1921",36.5854,27.1452
1337,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5854,27.1452
1338,"Phlebotomus similis Perfil'ev, 1963",36.5854,27.1452
1340,"Phlebotomus neglectus Tonnoir, 1921",36.5942,27.1378
1342,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5942,27.1378
1343,"Phlebotomus simici Nitzulescu, 1931",36.5942,27.1378
1344,"Phlebotomus neglectus Tonnoir, 1921",36.5966,27.1367
1345,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5966,27.1367
1346,"Phlebotomus simici Nitzulescu, 1931",36.5966,27.1367
1347,"Phlebotomus neglectus Tonnoir, 1921",36.5986,27.1357
1349,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5986,27.1357
1351,"Phlebotomus simici Nitzulescu, 1931",36.5986,27.1357
1352,"Phlebotomus neglectus Tonnoir, 1921",36.6037,27.1361
1353,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6037,27.1361
1355,"Phlebotomus simici Nitzulescu, 1931",36.6037,27.1361
1356,"Phlebotomus similis Perfil'ev, 1963",36.6037,27.1361
1357,"Phlebotomus neglectus Tonnoir, 1921",36.6045,27.1463
1359,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6045,27.1463
1360,"Phlebotomus simici Nitzulescu, 1931",36.6045,27.1463
1362,"Phlebotomus similis Perfil'ev, 1963",36.6045,27.1463
1364,"Phlebotomus neglectus Tonnoir, 1921",36.612,27.1361
1365,"Phlebotomus simici Nitzulescu, 1931",36.612,27.1361
